feature,coefficient,abs_coefficient
true_raw,0.05948636345065117,0.05948636345065117
affinity,0.042882436496315304,0.042882436496315304
rarity,-0.03955968662920836,0.03955968662920836
handicraft5_raw_sharpness_multiplier,0.02081857661831514,0.02081857661831514
element_type_麻痹,0.014989966973194869,0.014989966973194869
source_category_detailed_event_special,-0.013723717859281295,0.013723717859281295
element_type_龙,-0.012066595354443323,0.012066595354443323
sharpness_comfort_gain,0.012041677213191044,0.012041677213191044
elderseal_中,-0.011496571123384865,0.011496571123384865
element_type_雷,-0.011419248708654892,0.011419248708654892
source_category_detailed_rare_subspecies,0.009729411997175193,0.009729411997175193
source_category_detailed_guild_palace,0.008131325323826741,0.008131325323826741
elderseal_大,0.006840143099176924,0.006840143099176924
source_category_detailed_material_standard,-0.00680427993956763,0.00680427993956763
element_type_火,0.006537159564790599,0.006537159564790599
base_high_sharpness_units,-0.005731898782428397,0.005731898782428397
model_role_validation_marked,-0.005592392535454557,0.005592392535454557
base_max_sharpness_white,-0.0054901390757295925,0.0054901390757295925
element_type_睡眠,0.005426236504073389,0.005426236504073389
handicraft_value_type_extends_same_tier,-0.00532059377487521,0.00532059377487521
handicraft5_max_sharpness_blue,-0.00532059377487521,0.00532059377487521
handicraft_value_type_extends_purple,0.005293603737368704,0.005293603737368704
handicraft5_max_sharpness_purple,0.005005711670784012,0.005005711670784012
elderseal_小,0.004656428024207944,0.004656428024207944
model_role_validation_special,0.00464212843294579,0.00464212843294579
source_category_detailed_variant_endgame,0.00464212843294579,0.00464212843294579
handicraft_gain_units,-0.004603870890296272,0.004603870890296272
base_max_sharpness_purple,0.004551085928726922,0.004551085928726922
element_type_冰,-0.00420532179169242,0.00420532179169242
base_raw_sharpness_multiplier,0.0033183009970362293,0.0033183009970362293
element_type_水,0.0029756955964019634,0.0029756955964019634
defense_bonus_filled,-0.0027077833009614798,0.0027077833009614798
handicraft_value_type_extends_white,-0.0026466399109362415,0.0026466399109362415
slot_score,0.0024088819002461587,0.0024088819002461587
source_category_detailed_elder_dragon,-0.0019748679550988025,0.0019748679550988025
element_type_爆破,-0.0018058337524899267,0.0018058337524899267
handicraft_value_type_unlocks_white,0.001260022986177178,0.001260022986177178
slot_count,-0.001248897603578665,0.001248897603578665
handicraft5_high_sharpness_units,0.0012010700641016392,0.0012010700641016392
can_extend_by_handicraft_False,0.000958981220208473,0.000958981220208473
can_extend_by_handicraft_True,-0.0009589812202084724,0.0009589812202084724
handicraft_value_type_no_effect,0.000958981220208472,0.000958981220208472
model_role_train_core,0.0009502641025087638,0.0009502641025087638
base_max_sharpness_blue,0.0009390531470026635,0.0009390531470026635
element_value_filled,-0.0008202260382597915,0.0008202260382597915
handicraft_value_type_unlocks_purple,0.0004546257420570861,0.0004546257420570861
element_type_毒,-0.0004320590311802584,0.0004320590311802584
is_hidden_element_False,0.00033967473012254043,0.00033967473012254043
is_hidden_element_True,-0.0003396747301225387,0.0003396747301225387
handicraft5_max_sharpness_white,0.00031488210409120077,0.00031488210409120077
